          ,,   移動出荷指示取込一覧                                                      ,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                       ,,,,,,,,,,,,,,,,,
受信日,20150424,910,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,,,,,,,
企業コード,出荷指示№,出荷予定日,倉庫コード,出荷店コード,店舗名,BR,品番,  カラー,サイズ,数量,ＰＢ区分,上代単価,下代単価,理由名称,配分理由区分,オペレータＣＤ,データ作成日,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                     
10,11583,20150424,39,19896,広島三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510280251,22,0,5,1,16000,16000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,19896,広島三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510280281,22,0,5,1,8000,8000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,19896,広島三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510280431,20,0,8,1,12000,12000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11585,20150424,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,48,1410130002,10,0,1,1,9800,9800,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11585,20150424,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,48,1510140282,21,0,1,1,8800,8800,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11585,20150424,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,48,1510140282,50,0,1,1,8800,8800,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11585,20150424,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,48,1510140282,60,0,2,1,8800,8800,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11585,20150424,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,48,1510140282,70,0,1,1,8800,8800,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11585,20150424,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,48,1510140282,84,0,1,1,8800,8800,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11598,20150424,39,14801,ＳＣ幕張　　　　　　　　　　　　　　　　　　　　　　　　　　,48,1420125141,63,0,4,1,9800,9800,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
